form_id	submission_id	comments	faculty	future_help	future_help_budget	future_help_description	institute	past_approach	past_help	past_needs	past_satisfaction
315246	25610678	NA	sv	data-flow;help-navigating;help-using;learning	possibly	NA	NA	NA	NA	no	NA
315246	25609901	NA	sv	data-flow;data-processing;help-navigating;learning;new-methods;reproducible	NA	Structuring folders on TSD and cluster to maximise transparencyinstalling software that's quite complex with many dependenciesrunning jobs most efficiently on the clusterthis all feels like very time consuming work, which i've had no training in. it would help everyone on the project but i don't have enough incentive to focus on it rather than publications.	promenta	Nobody- I was not aware of anyone who could help with installing genetics software	no	yes	NA
315246	25609782	A lot of information dissemination on what is available for resources is faculty and department specific. It is hard to know what there is and who knows what. Something simple like a flow chart might be helpful. However, knowing what researchers actually understand about FAIR data and open science is hard, even with me around to help. Hi Mo, we can talk outside this survey if it is helpful.	hf	data-flow;data-processing;fair;help-navigating;help-using;learning;new-methods;reproducible	yes	Everything, but here is one example.We need pathways for data generated across a multitude of technology can be transferred to a safe location and processed with ease. Right now our researchers are using work arounds since the safe locations are not always reliable to use. For example, collaborating across multiple universities with private but not sensitive, Educloud might be great except right now it cannot be used with custom software and there are slow down problems that are the same with our VDI. Also how to handle copyright material and the intersection of media and research. For example, media generation as part of the research project but not the actual project.	RITMO	The vendor a little but mostly from coworkersI also get help from the legal team about copyright as needed. But a lot of that we are doing for the first time so are making the best choice we can with the information at hand.	some	yes	6
315246	25609720	Depending on the project, but having someone along on the team already at the planning stage would be very good. Like any other planning of projects.	sv	data-flow;data-processing;reproducible	possibly	I currently do everything myself. While it works, it could be more professional. And I do not have the capacity to teach new phd-students enough for them to do it for me quickly enough.	ISS	NA	NA	no	NA
315246	25606727	NA	sv	data-flow;data-processing;help-navigating;help-using;learning;new-methods	possibly	I'd love to do more complex stuff with longitudinal assessment and dynamic modeling but I don't have the time and skills to do it.	PSI	Torgrim	much	yes	7
315246	25606620	NA	hf	data-flow;data-processing;fair;new-methods;reproducible	possibly	Machine learning for multimodal data (audio + video), motion capture, eye tracking, physiological sensing.	RITMO	RITMO's lab engineers	much	yes	9
315246	25606210	NA	sv	data-flow;data-processing;fair;help-navigating;learning;new-methods;reproducible	yes	- how to set up for data collection (nettskjema, signatures, TSD, observational data)- cleaning, structuring and analyzing data from interventions (i.e., multilevel analyses)- Enable open science practice	PSI	- IT-staff at SV and PSI- colleagues at PSI	some	yes	6
315246	25605623	NA	sv	data-flow;data-processing;new-methods	yes	Implement non-standard statistical models, data harvesting and efficient parallel computing using HPC	ISV	USIT	much	yes	7
315246	25604702	NA	sv	data-flow;data-processing;fair;help-navigating;help-using;learning;new-methods;reproducible	yes	R coding and scripting. Data storage	PSI	Professional statistician, colleague	some	yes	7
315246	25604676	NA	sv	data-flow;fair;help-navigating;help-using;learning;reproducible	possibly	Mostly guidance and help getting started, perhaps some tailored advice about the best solutions for data flow, storage, QA, data sharing and archiving.	Psi	Administration	some	yes	5
315246	25604633	NA	sv	data-processing;help-using;learning;reproducible	yes	Help to organize data and do statistical analysis	PROMENTA	Other reseachers but they are busy	some	yes	5
315246	25604094	I would love this service, not always feeling you ask for a favor and time of colleges	sv	data-flow;data-processing;help-navigating;learning;reproducible	yes	I need help setting up R and using Cloud in tsdRunning PhythonOrganizing tsdNeed trains in Python plink and R and/or help or quality controll of scripts/analyses	Promenta	NA	NA	no	NA
315246	25604053	NA	sv	data-flow;data-processing;learning;new-methods;reproducible	yes	Programming experiments, more complex statistical modelling, help with documentation (datasets, scripts, etc.) for open science	PSI, RITMO	Colleagues at RITMO	some	yes	6
315246	25603939	NA	sv	data-flow;data-processing;fair;help-navigating;help-using;learning;new-methods;reproducible	possibly	NA	PSI	A colleague	some	yes	3
315246	25603927	NA	sv	learning;new-methods	possibly	Help with galvanic vestibular stimulation would be great!	RITMO	Internal RITMO engineer staff	everything	yes	10
